Community Name,Type,Count
PENBROOKE MEADOWS,Theft OF Vehicle,96
MARLBOROUGH,Theft FROM Vehicle,96
MANCHESTER INDUSTRIAL,Commercial Break & Enter,96
BELTLINE,Commercial Break & Enter,96
KILLARNEY/GLENGARRY,Theft FROM Vehicle,96
FOREST LAWN,Theft OF Vehicle,96
WHITEHORN,Theft FROM Vehicle,96
DOVER,Theft FROM Vehicle,96
FALCONRIDGE,Theft OF Vehicle,96
DOWNTOWN COMMERCIAL CORE,Assault (Non-domestic),96
SIGNAL HILL,Theft FROM Vehicle,96
LAKE BONAVISTA,Theft FROM Vehicle,96
ACADIA,Theft FROM Vehicle,96
PINERIDGE,Theft FROM Vehicle,96
ALTADORE,Theft FROM Vehicle,96
THORNCLIFFE,Theft FROM Vehicle,96
MOUNT PLEASANT,Theft FROM Vehicle,96
ARBOUR LAKE,Theft FROM Vehicle,96
TEMPLE,Theft OF Vehicle,96
BEDDINGTON HEIGHTS,Theft FROM Vehicle,96
MARTINDALE,Theft FROM Vehicle,96
SUNRIDGE,Theft FROM Vehicle,96
MARLBOROUGH PARK,Theft OF Vehicle,96
CRESCENT HEIGHTS,Theft FROM Vehicle,95
BRENTWOOD,Theft FROM Vehicle,95
BOWNESS,Theft FROM Vehicle,95
ALBERT PARK/RADISSON HEIGHTS,Theft FROM Vehicle,95
SHAWNESSY,Theft FROM Vehicle,95
RUNDLE,Theft FROM Vehicle,95
HUNTINGTON HILLS,Theft FROM Vehicle,95
HILLHURST,Theft FROM Vehicle,95
TUXEDO PARK,Theft FROM Vehicle,95
ERIN WOODS,Theft FROM Vehicle,95
FOOTHILLS,Theft OF Vehicle,95
VARSITY,Theft FROM Vehicle,94
OGDEN,Theft FROM Vehicle,94
RANCHLANDS,Theft FROM Vehicle,94
RENFREW,Theft FROM Vehicle,94
MCKENZIE LAKE,Theft FROM Vehicle,94
MAYLAND HEIGHTS,Theft FROM Vehicle,94
TARADALE,Theft FROM Vehicle,94
FOREST HEIGHTS,Theft FROM Vehicle,94
EDGEMONT,Theft FROM Vehicle,94
HOUNSFIELD HEIGHTS/BRIAR HILL,Theft FROM Vehicle,94
SOUTH CALGARY,Theft FROM Vehicle,94
BRIDGELAND/RIVERSIDE,Theft FROM Vehicle,94
COVENTRY HILLS,Theft FROM Vehicle,94
WILLOW PARK,Theft FROM Vehicle,94
HIGHLAND PARK,Theft FROM Vehicle,93
ABBEYDALE,Theft FROM Vehicle,93
BANKVIEW,Theft FROM Vehicle,93
LOWER MOUNT ROYAL,Theft FROM Vehicle,93
SUNALTA,Theft FROM Vehicle,93
EVERGREEN,Theft FROM Vehicle,93
DALHOUSIE,Theft FROM Vehicle,93
CRANSTON,Theft FROM Vehicle,93
SCENIC ACRES,Theft FROM Vehicle,93
FRANKLIN,Theft FROM Vehicle,93
MONTEREY PARK,Theft FROM Vehicle,92
MISSION,Theft FROM Vehicle,92
HIDDEN VALLEY,Theft FROM Vehicle,92
MEADOWLARK PARK,Theft FROM Vehicle,92
MCKENZIE TOWNE,Theft FROM Vehicle,92
SOUTHWOOD,Theft FROM Vehicle,92
BANFF TRAIL,Theft FROM Vehicle,92
KINGSLAND,Theft FROM Vehicle,92
HAYSBORO,Theft FROM Vehicle,91
SOMERSET,Theft FROM Vehicle,91
TUSCANY,Theft FROM Vehicle,91
GLAMORGAN,Theft FROM Vehicle,91
GLENBROOK,Theft FROM Vehicle,91
