Community Name,Type,Count
LINCOLN PARK,Social Disorder,169
HAWKWOOD,Social Disorder,96
PALLISER,Social Disorder,96
PATTERSON,Social Disorder,96
COPPERFIELD,Social Disorder,96
CORAL SPRINGS,Social Disorder,96
PARKLAND,Social Disorder,96
COUGAR RIDGE,Social Disorder,96
PARKHILL,Social Disorder,96
COUNTRY HILLS,Social Disorder,96
PARKDALE,Social Disorder,96
COUNTRY HILLS VILLAGE,Social Disorder,96
COVENTRY HILLS,Social Disorder,96
CRANSTON,Social Disorder,96
CRESCENT HEIGHTS,Social Disorder,96
PANORAMA HILLS,Social Disorder,96
DALHOUSIE,Social Disorder,96
PENBROOKE MEADOWS,Physical Disorder,96
DEER RIDGE,Social Disorder,96
DEER RUN,Social Disorder,96
OGDEN,Social Disorder,96
OAKRIDGE,Social Disorder,96
NORTH HAVEN,Social Disorder,96
DOUGLASDALE/GLEN,Social Disorder,96
DOVER,Physical Disorder,96
DOWNTOWN COMMERCIAL CORE,Physical Disorder,96
DOWNTOWN EAST VILLAGE,Social Disorder,96
DOWNTOWN WEST END,Social Disorder,96
COLLINGWOOD,Social Disorder,96
CLIFF BUNGALOW,Social Disorder,96
NORTH GLENMORE PARK,Social Disorder,96
RICHMOND,Social Disorder,96
BELTLINE,Physical Disorder,96
BOWNESS,Physical Disorder,96
BRAESIDE,Social Disorder,96
BRENTWOOD,Social Disorder,96
BRIDGELAND/RIVERSIDE,Physical Disorder,96
BRIDLEWOOD,Social Disorder,96
RENFREW,Social Disorder,96
BURNS INDUSTRIAL,Social Disorder,96
CALGARY INTERNATIONAL AIRPORT,Social Disorder,96
RED CARPET,Social Disorder,96
RANCHLANDS,Social Disorder,96
CANYON MEADOWS,Social Disorder,96
CAPITOL HILL,Social Disorder,96
RAMSAY,Social Disorder,96
CASTLERIDGE,Social Disorder,96
CEDARBRAE,Social Disorder,96
CHAPARRAL,Social Disorder,96
CHARLESWOOD,Social Disorder,96
QUEENSLAND,Social Disorder,96
MANCHESTER,Social Disorder,96
CITADEL,Social Disorder,96
PINERIDGE,Social Disorder,96
EAGLE RIDGE,Social Disorder,96
EAST FAIRVIEW INDUSTRIAL,Social Disorder,96
RIVERBEND,Social Disorder,96
GREENVIEW,Social Disorder,96
GREENVIEW INDUSTRIAL PARK,Social Disorder,96
MCKENZIE TOWNE,Social Disorder,96
HARVEST HILLS,Social Disorder,96
MCKENZIE LAKE,Social Disorder,96
HAYSBORO,Social Disorder,96
HIDDEN VALLEY,Social Disorder,96
HIGHFIELD,Social Disorder,96
HIGHLAND PARK,Social Disorder,96
HIGHWOOD,Social Disorder,96
MAYLAND HEIGHTS,Social Disorder,96
HILLHURST,Social Disorder,96
HORIZON,Social Disorder,96
HOUNSFIELD HEIGHTS/BRIAR HILL,Social Disorder,96
HUNTINGTON HILLS,Social Disorder,96
INGLEWOOD,Social Disorder,96
KELVIN GROVE,Social Disorder,96
KILLARNEY/GLENGARRY,Social Disorder,96
MARTINDALE,Social Disorder,96
KINGSLAND,Social Disorder,96
LAKE BONAVISTA,Social Disorder,96
LAKEVIEW,Social Disorder,96
MARLBOROUGH PARK,Social Disorder,96
MARLBOROUGH,Social Disorder,96
MAPLE RIDGE,Social Disorder,96
LOWER MOUNT ROYAL,Social Disorder,96
MACEWAN GLEN,Social Disorder,96
MEADOWLARK PARK,Social Disorder,96
MERIDIAN,Social Disorder,96
EAST SHEPARD INDUSTRIAL,Social Disorder,96
MIDNAPORE,Social Disorder,96
EAU CLAIRE,Social Disorder,96
NEW BRIGHTON,Social Disorder,96
EDGEMONT,Social Disorder,96
ELBOW PARK,Social Disorder,96
ELBOYA,Social Disorder,96
MOUNT PLEASANT,Social Disorder,96
ERIN WOODS,Social Disorder,96
ERLTON,Social Disorder,96
EVANSTON,Social Disorder,96
EVERGREEN,Social Disorder,96
FAIRVIEW,Social Disorder,96
MONTGOMERY,Social Disorder,96
FAIRVIEW INDUSTRIAL,Social Disorder,96
FALCONRIDGE,Physical Disorder,96
MONTEREY PARK,Social Disorder,96
FOOTHILLS,Social Disorder,96
FOREST HEIGHTS,Social Disorder,96
FOREST LAWN,Physical Disorder,96
FOREST LAWN INDUSTRIAL,Social Disorder,96
FRANKLIN,Social Disorder,96
GLAMORGAN,Social Disorder,96
GLENBROOK,Social Disorder,96
GLENDALE,Social Disorder,96
MISSION,Social Disorder,96
MILLRISE,Social Disorder,96
BEDDINGTON HEIGHTS,Social Disorder,96
CHINATOWN,Social Disorder,96
SOUTHVIEW,Social Disorder,96
SKYVIEW RANCH,Social Disorder,96
SUNNYSIDE,Social Disorder,96
SUNDANCE,Social Disorder,96
SUNALTA,Social Disorder,96
STRATHCONA PARK,Social Disorder,96
ST. ANDREWS HEIGHTS,Social Disorder,96
SPRUCE CLIFF,Social Disorder,96
SPRINGBANK HILL,Social Disorder,96
SOUTHWOOD,Social Disorder,96
SOUTH CALGARY,Social Disorder,96
SOUTH AIRWAYS,Social Disorder,96
SOMERSET,Social Disorder,96
SILVERADO,Social Disorder,96
RUNDLE,Physical Disorder,96
SILVER SPRINGS,Social Disorder,96
SIGNAL HILL,Social Disorder,96
SHERWOOD,Social Disorder,96
SHEPARD INDUSTRIAL,Social Disorder,96
SHAWNESSY,Social Disorder,96
SHAGANAPPI,Social Disorder,96
SCENIC ACRES,Social Disorder,96
SANDSTONE VALLEY,Social Disorder,96
SADDLE RIDGE,Social Disorder,96
RUTLAND PARK,Social Disorder,96
SUNRIDGE,Social Disorder,96
TARADALE,Physical Disorder,96
TEMPLE,Physical Disorder,96
WOODLANDS,Social Disorder,96
WOODBINE,Social Disorder,96
WINSTON HEIGHTS/MOUNTVIEW,Social Disorder,96
WINDSOR PARK,Social Disorder,96
WILLOW PARK,Social Disorder,96
WILDWOOD,Social Disorder,96
WHITEHORN,Social Disorder,96
WESTWINDS,Social Disorder,96
WESTGATE,Social Disorder,96
WEST SPRINGS,Social Disorder,96
WEST HILLHURST,Social Disorder,96
VISTA HEIGHTS,Social Disorder,96
VARSITY,Social Disorder,96
VALLEYFIELD,Social Disorder,96
VALLEY RIDGE,Social Disorder,96
UPPER MOUNT ROYAL,Social Disorder,96
UNIVERSITY OF CALGARY,Social Disorder,96
UNIVERSITY HEIGHTS,Social Disorder,96
TUXEDO PARK,Social Disorder,96
TUSCANY,Social Disorder,96
THORNCLIFFE,Social Disorder,96
MANCHESTER INDUSTRIAL,Social Disorder,96
ALBERT PARK/RADISSON HEIGHTS,Physical Disorder,96
AUBURN BAY,Social Disorder,96
BANFF TRAIL,Social Disorder,96
ALTADORE,Social Disorder,96
ROSSCARROCK,Social Disorder,96
ARBOUR LAKE,Social Disorder,96
ASPEN WOODS,Social Disorder,96
ACADIA,Social Disorder,96
ALYTH/BONNYBROOK,Social Disorder,96
ABBEYDALE,Social Disorder,96
ROCKY RIDGE,Social Disorder,96
ROYAL OAK,Social Disorder,96
APPLEWOOD PARK,Social Disorder,96
BANKVIEW,Social Disorder,96
NOSE HILL PARK,Social Disorder,95
MAHOGANY,Social Disorder,95
ROSEDALE,Social Disorder,95
CAMBRIAN HEIGHTS,Social Disorder,95
ROSEMONT,Social Disorder,95
MCCALL,Social Disorder,95
HAMPTONS,Social Disorder,95
KINCORA,Social Disorder,95
MAYLAND,Social Disorder,95
STONEY 2,Social Disorder,95
DEERFOOT BUSINESS CENTRE,Social Disorder,95
NORTH AIRWAYS,Social Disorder,94
DISCOVERY RIDGE,Social Disorder,94
PUMP HILL,Social Disorder,94
WALDEN,Social Disorder,94
SAGE HILL,Social Disorder,94
GREENWOOD/GREENBRIAR,Social Disorder,94
COACH HILL,Social Disorder,93
CHRISTIE PARK,Social Disorder,93
SCARBORO,Social Disorder,93
GLENMORE PARK,Social Disorder,93
BAYVIEW,Social Disorder,93
SHAWNEE SLOPES,Social Disorder,93
STONEY 1,Social Disorder,92
BRITANNIA,Social Disorder,92
SKYLINE WEST,Social Disorder,92
GREAT PLAINS,Social Disorder,91
CHINOOK PARK,Social Disorder,91
SOUTH FOOTHILLS,Social Disorder,90
02E,Social Disorder,89
QUEENS PARK VILLAGE,Social Disorder,89
ROYAL VISTA,Social Disorder,87
STONEY 4,Social Disorder,87
FISH CREEK PARK,Social Disorder,86
BONAVISTA DOWNS,Social Disorder,86
SCARBORO/ SUNALTA WEST,Social Disorder,86
SADDLE RIDGE INDUSTRIAL,Social Disorder,86
SKYLINE EAST,Social Disorder,85
EASTFIELD,Social Disorder,84
CRESTMONT,Social Disorder,84
SETON,Social Disorder,83
STARFIELD,Social Disorder,83
GLENDEER BUSINESS PARK,Social Disorder,83
SECTION 23,Social Disorder,81
LEGACY,Social Disorder,81
NOLAN HILL,Social Disorder,81
12A,Social Disorder,80
REDSTONE,Social Disorder,80
AURORA BUSINESS PARK,Social Disorder,78
POINT MCKAY,Social Disorder,78
RIDEAU PARK,Social Disorder,75
NORTH HAVEN UPPER,Social Disorder,73
10A,Social Disorder,73
CANADA OLYMPIC PARK,Social Disorder,72
09H,Social Disorder,72
ROXBORO,Social Disorder,72
DIAMOND COVE,Social Disorder,70
10B,Social Disorder,70
GOLDEN TRIANGLE,Social Disorder,66
CITYSCAPE,Social Disorder,65
MAYFAIR,Social Disorder,65
CURRIE BARRACKS,Social Disorder,63
BEL-AIRE,Social Disorder,62
STONEGATE LANDING,Social Disorder,57
05B,Social Disorder,55
PEGASUS,Social Disorder,54
